Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
,0.0046,15.4,5.15,0.0636,25.03,2.93,24.42,1,0.91,51.05,32.95,7.17,5.32,6.71,50.92,17.51,68.19,69.71,36.31,36.5,5.13,5.15,3.53,3.81,20.22,19.81,11.76,11.58
,0.0036,12.57,3.53,0.1115,25.1,2.23,20.41,5,1.43,58.97,38.69,5.39,4.69,7.19,46.1,16.41,65.69,66.56,34.34,35.1,5.06,4.97,3.87,4,18.41,20.29,12.41,12.79
,0.0032,12.18,2.55,0.1077,22.57,1.95,21.11,1,1.41,52.58,33.94,6.22,6.06,7.17,63.71,22.39,71.84,72.21,30,31.11,5.76,5.88,1.94,1.94,21.95,20.87,8.98,8.79
,0.0025,13.97,2.06,0.0784,25.36,1.96,21.03,5,1.82,53.61,25.24,2.43,4.67,6.56,50.62,19.02,61.77,62.72,28.7,29.88,4.14,4.93,1.86,2.12,18.11,17.86,7.97,7.82
,0.0036,8.39,3.03,0.0947,24.65,2,19.25,5,1.69,55.01,26.71,0,8.1,6.93,59.18,23.03,58.61,59.2,20.02,20.54,5.81,4.24,2.18,2.1,16.67,18.79,6.83,6.71
,0.0098,15.57,2.48,0.0991,27.21,2.21,20.94,5,2.06,56.07,36.48,5.69,8.21,6.88,53.22,18.84,61.42,61.42,32.25,28.96,5.8,6.14,2.35,2.36,18.71,16.87,8.95,8.95
,0.0045,13.23,1.95,0.0949,22.55,1.71,20.18,3,2.27,56.47,35.4,6.63,5.31,6.47,56.05,18.6,64.91,63.32,46.97,44.82,5.2,4.98,3.32,3.61,18.5,18.45,13.04,12.17
,0.011,14.01,2.83,0.0948,25.12,1.95,21.1,5,2.01,49.78,30.89,5.47,5.32,7.25,45.92,16.7,72.74,71.62,35.2,31.83,7.11,7.11,3.03,3.03,20.85,20.51,7.13,7.13
,0.009,15.77,3.71,0.1078,24.21,1.51,21.29,5,2.41,60.64,37.52,3.99,5.47,6.97,51.23,20.4,79.8,79.34,32.87,29.46,7.89,5.72,1.62,1.62,23.21,23.99,8.41,7.9
,0.0074,13.26,3.26,0.099,25.72,2.33,22.4,1,2.17,32.71,13.84,1.07,4.6,7.25,58.66,22.76,74.65,74.57,24.94,21.84,6.9,6.9,3.35,3.35,24.03,23.36,9.01,7.15
,0.0023,13.36,3.58,0.102,36.86,1.08,20.82,1,1.55,56.25,33.12,5.02,5.23,6.64,46.81,15.41,65.01,62.6,35.19,38.85,5.69,4.77,3.19,2.7,22.72,18.88,14.17,15.84
,0.0016,15.32,3.58,0.118,46.17,1.1,20.29,4,2.92,58.46,37.32,6.42,5.81,7.38,50.42,17.1,65.77,69.66,29.43,39.1,6.14,4.78,2.68,3.52,19.91,21.02,9.26,14.21
,0.0027,12.61,2.81,0.103,39.9,1.36,20.34,5,2.09,45.81,31.83,7.92,5.11,5.32,43.38,15.22,64.29,74.08,42.2,31.61,6.23,4.85,4.12,1.75,20.97,21.93,10.52,8.59
,0.0025,11.5,2.61,0.0838,35.81,1.31,14.61,5,2.55,52.66,31.31,6.98,5.06,7.16,49.02,16.78,56.72,69.16,30.11,28.64,6.24,6.89,3.74,1.75,17.05,19.44,11.14,8.58
,0.0054,10.72,2.26,0.0871,39.48,1.76,18.23,5,1.71,54.5,25.82,0,5.81,6.17,50.85,18.6,51.13,71.47,41.89,42.86,3.65,5.81,3.32,2.88,20.04,21.3,12.17,16.78
,0.0038,19.65,5.15,0.0636,25.53,1.86,20.38,5,2.74,59.82,33.78,6.83,7.05,7.16,51.91,18.02,70.37,70.33,40.86,40.34,5.52,4.88,2.72,3.14,19.13,20.92,10.53,10.66
,0.0097,21.85,3.34,0.0951,25.67,1.83,19.48,5,1.85,51.45,34.75,5.47,8.2,8.11,59.74,23.71,68.59,68.63,42.45,41.95,6.13,5.4,3.69,3.43,20.12,21.23,12.09,13.15
,0.0045,17.45,3.47,0.0781,22.88,1.34,20.52,5,1.95,60.23,38.56,5.73,6.48,8.07,63.76,21.89,55.84,55.17,32.73,32.14,4.96,3.88,2.78,2.34,18.88,20.95,9.98,9.9
,0.0083,19.09,2.85,0.1079,27.08,1.56,20.81,5,2.01,49.22,33.91,7.24,6.27,6.46,45.92,17.79,58.9,58.43,36.05,35.18,5.92,5.52,2.58,2.48,16.18,18.62,11.36,11.02
,0.0106,18.85,2.56,0.0954,26.26,1.81,21.23,5,2.8,56.91,37.49,9.65,6.51,6.85,50.56,17.62,51.45,51.31,35.43,34.28,4.53,4.64,3.4,2.79,16.14,17.9,12.35,12.92
,0.0081,9.23,3.21,0.883,27.47,1.89,21.84,5,1.33,52.69,34.33,6.61,9.32,9.63,62.76,23.46,81.14,53.75,37.42,18.73,2.91,3.06,1.83,0.21,25.11,14.41,13.77,6.95
,0.0083,9.84,3.14,0.1029,27.45,1.89,20.84,5,2.49,52.64,37.37,5.6,7.08,6.23,45.8,21.05,75.72,61.84,39.58,36.19,3.62,4.29,1.55,2.57,26.01,18.96,14.28,9.82
,0.0086,11.56,2.49,0.1067,24.4,1.38,20.38,1,2.44,61.08,23.33,0.82,6.45,7.08,53.04,19.99,73.97,50.32,39.78,32.95,3.13,3.13,1.54,1.06,18.47,13.58,14.97,8.36
,0.0079,10.56,2.94,0.0842,21,2.27,20.95,5,3.1,56.64,30.3,2.51,7.36,7.53,57.36,23.38,67.47,54.93,33.48,34.13,3.23,3.39,2.31,1.27,20.06,17.31,10.83,8.22
,0.0033,8.56,2.94,0.0916,27.51,2.22,16.49,5,1.92,47.27,32.99,4.14,6.14,6.45,50.04,15.86,73.21,55.99,37.42,36.93,4.34,4.65,1.85,1.68,21.71,16.88,11.61,8.33
