Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
,0.0027,18.42,1.78,0.0897,30.89,0.74,0.673,5,0.42,46.39,20.76,6.28,6.96,6.61,40.01,15.5,42.18,72.51,27.88,29.95,2.39,1.53,0.826,0.87,11.48,18.19,7.56,16.09
,0.0018,18.43,1.99,0.1178,37.77,1.14,0.715,4,0.395,52.65,23.63,6.03,4.71,7.04,43.7,23.04,46,69.69,32.09,30.76,1.52,2.42,0.812,0.93,14.31,20.36,6.62,12.4
,0.0077,11.33,4.32,0.0633,24.89,1.55,18.48,5,2.57,60.51,39.14,5.5,5.84,7.13,59.78,21.79,66.95,67.26,42.64,42.63,6.09,5.33,3.61,3.43,19.91,22.33,10.97,13.18
,0.0086,14.92,4.7,0.0947,27.51,1.61,20.67,5,2.15,48.9,34.58,5.97,6.28,7.12,49.95,17.61,66.14,66.4,40.79,40.77,5.91,5.82,3.89,4.72,17,18.55,12.22,12.8
,0.0092,13.48,2.18,0.0614,22.13,2.38,21.14,5,2.17,41.19,16.42,0,7.44,7.66,63.71,21.97,59.15,59.19,27.46,27.6,5.52,5.82,2.13,1.78,14.01,16.96,7.12,9.41
,0.0031,14.26,2.85,0.0912,31.63,1.14,20.94,1,1.1,32.44,13.93,0,6.76,6.64,51.56,17.64,54.52,54.94,26.46,26.71,4.6,4.69,2.17,1.61,14.2,16.28,4.95,8.05
,0.003,13.69,2.05,0.0746,22.74,1.5,15.68,5,1.62,50.95,38.38,7.36,5.97,5.97,46.56,16.4,52.72,53.42,18.03,17.96,4.86,4.72,1.75,1.41,13.68,14.57,5.42,4.95
,0.0092,11.75,2.81,0.1157,38.85,2.26,22.89,3,1.09,51.43,34.39,5.66,8.86,6.81,51.79,20.76,54.78,55.24,35.36,34.22,6.73,4.43,4.11,2.02,20.66,19.39,11.5,13.02
,0.0075,11.24,2.32,0.0775,34.37,1.38,19.15,9,4.88,58.49,35.4,7.04,5.4,6.79,52.69,19.26,56.79,55.35,40.13,39.96,5.62,6.06,2.82,2.84,19.71,19.91,10.91,11.55
,0.0072,10,2.83,0.0829,37.28,2.29,19.87,8,4.47,50.38,31.52,5.89,6.01,7.47,59,21.65,51.57,50.42,35.12,34.62,6.86,6.13,4.27,4.14,20.99,19.89,13.07,12.99
,0.008,13.35,2.09,0.0714,33.99,1.89,20.28,9,2.74,33.02,14.89,1.07,5.95,6.74,53.2,18.81,51.52,51.44,36.55,36.05,7.01,6.61,4.62,4.38,16.04,18.04,9.43,11.42
,0.0085,13.54,1.84,0.1184,39.22,1.59,22.17,3,1.1,51.42,33.88,5.51,8.84,8.02,63.64,24.15,51.56,50.84,21.32,21.87,6.28,6.73,2.76,1.93,11.4,16.07,6.03,6.8
,0.0026,9.13,4.01,0.1004,25.55,1.26,21.29,5,2.7,52.31,34.07,4.43,8.55,7.11,58.86,25.19,66.59,78.62,44,35.7,3.91,4.67,2.91,2.78,17.98,18.31,10.57,8.73
